# Evoluation started on 2015/07/18 04:00:59
# Generation	   Best 	   Average 	   Worst
	208		  11.396	  11.165	   9.768
	209		  11.199	  10.936	  10.246
	210		  11.276	  10.960	   9.566
	211		  11.158	  10.792	   8.932
	212		  11.316	  10.877	   9.238
	213		  11.195	  10.828	   9.369
	214		  11.213	  10.929	   9.367
	215		  11.408	  11.120	  10.125
	216		  11.211	  10.922	   9.131
	217		  11.357	  11.065	   9.889
	218		  11.130	  10.931	   9.620
	219		  11.337	  10.998	   8.572
	220		  11.257	  10.750	   9.397
	221		  11.288	  10.902	   9.805
	222		  11.295	  11.032	   9.438
	223		  11.239	  10.790	   9.686
	224		  11.248	  10.882	   9.678
	225		  11.286	  10.761	   9.451
	226		  11.419	  11.116	   9.225
	227		  11.284	  10.944	   9.903
	228		  11.376	  11.075	   9.313
	229		  11.178	  10.875	   9.311
	230		  11.392	  10.953	   9.236
	231		  11.361	  10.992	   9.514
	232		  11.238	  10.798	   9.190
	233		  11.317	  11.008	   9.464
	234		  11.446	  11.199	   9.995
	235		  11.306	  11.024	   9.963
	236		  11.380	  11.141	  10.079
	237		  11.268	  10.954	   8.825
	238		  11.268	  10.900	   9.869
	239		  11.259	  10.928	   9.636
	240		  11.317	  10.960	   9.431
	241		  11.276	  10.946	   9.718
	242		  11.309	  11.089	   9.870
	243		  11.323	  11.009	   9.092
	244		  11.205	  10.986	   9.946
	245		  11.364	  11.096	   9.885
	246		  11.395	  11.068	   9.299
	247		  11.255	  10.991	   9.792
	248		  11.390	  11.024	   9.662
	249		  11.294	  10.954	   9.592
# Evoluation started on 2015/07/18 14:38:55
# Generation	   Best 	   Average 	   Worst
# Evoluation started on 2015/07/18 15:04:26
# Generation	   Best 	   Average 	   Worst
# Evoluation started on 2015/07/19 00:39:07
# Generation	   Best 	   Average 	   Worst
